DATE,NASDAQCOM
1971-08-13,105.44
1971-08-16,107.86
1971-08-17,108.93
1971-08-18,108.39
1971-08-19,108.01
1971-08-20,107.89
1971-08-23,108.26
1971-08-24,108.60
1971-08-25,108.85
1971-08-26,108.97
1971-08-27,109.30
1971-08-30,108.71
1971-08-31,108.42
1971-09-01,108.65
1971-09-02,108.96
1971-09-03,109.98
1971-09-06,.
1971-09-07,110.53
1971-09-08,110.58
1971-09-09,110.55
1971-09-10,110.42
1971-09-13,110.22
1971-09-14,109.77
1971-09-15,109.79
1971-09-16,109.78
1971-09-17,110.10
1971-09-20,109.99
1971-09-21,109.82
1971-09-22,108.99
1971-09-23,108.80
1971-09-24,108.88
1971-09-27,108.18
1971-09-28,108.38
1971-09-29,108.60
1971-09-30,109.03
1971-10-01,109.58
1971-10-04,109.96
1971-10-05,109.99
1971-10-06,110.68
1971-10-07,110.98
1971-10-08,110.74
1971-10-11,110.71
1971-10-12,110.91
1971-10-13,110.69
1971-10-14,109.87
1971-10-15,109.60
1971-10-18,109.06
1971-10-19,107.99
1971-10-20,106.58
1971-10-21,106.61
1971-10-22,106.80
1971-10-25,106.29
1971-10-26,105.69
1971-10-27,104.28
1971-10-28,104.50
1971-10-29,105.10
1971-11-01,103.69
1971-11-02,103.54
1971-11-03,105.01
1971-11-04,105.56
1971-11-05,105.46
1971-11-08,105.43
1971-11-09,105.72
1971-11-10,104.86
1971-11-11,103.74
1971-11-12,103.91
1971-11-15,103.44
1971-11-16,103.71
1971-11-17,103.64
1971-11-18,103.44
1971-11-19,102.95
1971-11-22,101.79
1971-11-23,100.31
1971-11-24,100.40
1971-11-25,.
1971-11-26,101.64
1971-11-29,103.08
1971-11-30,103.97
1971-12-01,105.06
1971-12-02,106.15
1971-12-03,107.26
1971-12-06,106.92
1971-12-07,107.26
1971-12-08,107.71
1971-12-09,107.97
1971-12-10,108.81
1971-12-13,109.16
1971-12-14,109.07
1971-12-15,109.45
1971-12-16,110.01
1971-12-17,110.52
1971-12-20,111.50
1971-12-21,111.73
1971-12-22,111.97
1971-12-23,111.94
1971-12-24,.
1971-12-27,111.70
1971-12-28,111.93
1971-12-29,112.57
1971-12-30,112.97
1971-12-31,114.12
1972-01-03,113.65
1972-01-04,113.93
1972-01-05,114.83
1972-01-06,115.72
1972-01-07,116.05
1972-01-10,116.10
1972-01-11,116.64
1972-01-12,116.90
1972-01-13,116.42
1972-01-14,116.74
1972-01-17,116.93
1972-01-18,117.66
1972-01-19,117.45
1972-01-20,117.32
1972-01-21,117.21
1972-01-24,116.49
1972-01-25,116.30
1972-01-26,116.39
1972-01-27,117.37
1972-01-28,118.44
1972-01-31,118.87
1972-02-01,119.58
1972-02-02,120.47
1972-02-03,120.66
1972-02-04,121.24
1972-02-07,121.14
1972-02-08,121.35
1972-02-09,122.16
1972-02-10,122.71
1972-02-11,122.86
1972-02-14,122.26
1972-02-15,122.61
1972-02-16,123.35
1972-02-17,123.44
1972-02-18,123.40
1972-02-21,.
1972-02-22,123.30
1972-02-23,123.61
1972-02-24,124.00
1972-02-25,124.83
1972-02-28,124.94
1972-02-29,125.38
1972-03-01,126.29
1972-03-02,126.58
1972-03-03,127.19
1972-03-06,127.88
1972-03-07,127.83
1972-03-08,128.40
1972-03-09,128.85
1972-03-10,128.55
1972-03-13,127.34
1972-03-14,127.73
1972-03-15,128.14
1972-03-16,127.77
1972-03-17,128.01
1972-03-20,127.53
1972-03-21,125.73
1972-03-22,126.36
1972-03-23,127.38
1972-03-24,127.55
1972-03-27,127.56
1972-03-28,127.72
1972-03-29,127.53
1972-03-30,128.14
1972-03-31,.
1972-04-03,128.06
1972-04-04,128.78
1972-04-05,130.00
1972-04-06,130.92
1972-04-07,131.80
1972-04-10,131.76
1972-04-11,132.47
1972-04-12,133.17
1972-04-13,133.06
1972-04-14,133.88
1972-04-17,133.74
1972-04-18,134.10
1972-04-19,132.68
1972-04-20,132.86
1972-04-21,133.01
1972-04-24,131.90
1972-04-25,130.84
1972-04-26,130.92
1972-04-27,131.01
1972-04-28,131.33
1972-05-01,130.16
1972-05-02,129.34
1972-05-03,128.77
1972-05-04,128.92
1972-05-05,129.43
1972-05-08,128.62
1972-05-09,125.78
1972-05-10,126.77
1972-05-11,127.95
1972-05-12,129.44
1972-05-15,130.34
1972-05-16,130.36
1972-05-17,129.76
1972-05-18,130.82
1972-05-19,132.16
1972-05-22,132.38
1972-05-23,132.72
1972-05-24,133.47
1972-05-25,133.80
1972-05-26,133.95
1972-05-29,.
1972-05-30,133.45
1972-05-31,132.53
1972-06-01,133.13
1972-06-02,133.52
1972-06-05,132.74
1972-06-06,132.00
1972-06-07,131.00
1972-06-08,131.07
1972-06-09,130.57
1972-06-12,130.38
1972-06-13,130.78
1972-06-14,131.45
1972-06-15,131.29
1972-06-16,131.28
1972-06-19,130.76
1972-06-20,131.07
1972-06-21,131.38
1972-06-22,130.79
1972-06-23,130.22
1972-06-26,129.31
1972-06-27,129.79
1972-06-28,129.58
1972-06-29,129.35
1972-06-30,130.08
1972-07-03,130.59
1972-07-04,.
1972-07-05,131.28
1972-07-06,131.86
1972-07-07,131.50
1972-07-10,130.85
1972-07-11,130.47
1972-07-12,130.11
1972-07-13,129.03
1972-07-14,129.38
1972-07-17,128.40
1972-07-18,127.54
1972-07-19,127.77
1972-07-20,127.09
1972-07-21,127.63
1972-07-24,128.77
1972-07-25,128.47
1972-07-26,128.65
1972-07-27,128.36
1972-07-28,128.15
1972-07-31,127.75
1972-08-01,128.45
1972-08-02,129.39
1972-08-03,130.31
1972-08-04,130.94
1972-08-07,130.97
1972-08-08,130.61
1972-08-09,130.75
1972-08-10,130.84
1972-08-11,131.68
1972-08-14,131.70
1972-08-15,131.48
1972-08-16,131.46
1972-08-17,130.89
1972-08-18,131.43
1972-08-21,131.29
1972-08-22,131.29
1972-08-23,131.10
1972-08-24,130.40
1972-08-25,130.31
1972-08-28,129.77
1972-08-29,129.44
1972-08-30,129.78
1972-08-31,129.95
1972-09-01,130.70
1972-09-04,.
1972-09-05,130.33
1972-09-06,129.63
1972-09-07,129.21
1972-09-08,129.13
1972-09-11,128.26
1972-09-12,127.18
1972-09-13,127.51
1972-09-14,127.58
1972-09-15,127.67
1972-09-18,127.61
1972-09-19,127.42
1972-09-20,127.51
1972-09-21,127.30
1972-09-22,127.46
1972-09-25,126.82
1972-09-26,127.07
1972-09-27,128.55
1972-09-28,129.13
1972-09-29,129.61
1972-10-02,129.30
1972-10-03,129.48
1972-10-04,129.29
1972-10-05,128.01
1972-10-06,128.13
1972-10-09,128.51
1972-10-10,129.02
1972-10-11,128.57
1972-10-12,127.87
1972-10-13,127.19
1972-10-16,125.87
1972-10-17,126.43
1972-10-18,127.05
1972-10-19,126.91
1972-10-20,128.00
1972-10-23,128.66
1972-10-24,128.91
1972-10-25,128.89
1972-10-26,129.37
1972-10-27,129.53
1972-10-30,129.46
1972-10-31,130.24
1972-11-01,131.59
1972-11-02,132.12
1972-11-03,133.34
1972-11-06,133.58
1972-11-07,.
1972-11-08,133.06
1972-11-09,132.82
1972-11-10,133.12
1972-11-13,132.77
1972-11-14,132.90
1972-11-15,132.45
1972-11-16,132.62
1972-11-17,132.33
1972-11-20,132.12
1972-11-21,132.19
1972-11-22,132.49
1972-11-23,.
1972-11-24,133.02
1972-11-27,132.57
1972-11-28,132.71
1972-11-29,132.73
1972-11-30,132.96
1972-12-01,133.94
1972-12-04,134.14
1972-12-05,134.28
1972-12-06,134.68
1972-12-07,135.06
1972-12-08,135.15
1972-12-11,134.83
1972-12-12,134.27
1972-12-13,133.66
1972-12-14,133.33
1972-12-15,133.53
1972-12-18,132.54
1972-12-19,132.39
1972-12-20,131.93
1972-12-21,131.08
1972-12-22,131.28
1972-12-25,.
1972-12-26,131.18
1972-12-27,131.93
1972-12-28,.
1972-12-29,133.73
1973-01-01,.
1973-01-02,134.63
1973-01-03,135.38
1973-01-04,135.44
1973-01-05,135.91
1973-01-08,136.02
1973-01-09,135.99
1973-01-10,136.06
1973-01-11,136.84
1973-01-12,136.01
1973-01-15,134.60
1973-01-16,134.03
1973-01-17,134.07
1973-01-18,134.34
1973-01-19,133.87
1973-01-22,133.15
1973-01-23,132.44
1973-01-24,130.49
1973-01-25,.
1973-01-26,129.76
1973-01-29,128.46
1973-01-30,128.22
1973-01-31,128.40
1973-02-01,126.94
1973-02-02,126.48
1973-02-05,126.00
1973-02-06,126.27
1973-02-07,124.99
1973-02-08,123.97
1973-02-09,125.86
1973-02-12,126.88
1973-02-13,127.19
1973-02-14,125.42
1973-02-15,124.43
1973-02-16,124.55
1973-02-19,.
1973-02-20,125.01
1973-02-21,123.95
1973-02-22,123.68
1973-02-23,122.34
1973-02-26,121.27
1973-02-27,119.80
1973-02-28,120.41
1973-03-01,119.53
1973-03-02,120.11
1973-03-05,120.55
1973-03-06,121.91
1973-03-07,122.28
1973-03-08,122.11
1973-03-09,121.99
1973-03-12,121.86
1973-03-13,122.09
1973-03-14,122.10
1973-03-15,121.60
1973-03-16,121.22
1973-03-19,119.94
1973-03-20,119.26
1973-03-21,117.89
1973-03-22,115.69
1973-03-23,115.47
1973-03-26,115.54
1973-03-27,116.89
1973-03-28,117.14
1973-03-29,118.19
1973-03-30,117.46
1973-04-02,115.79
1973-04-03,114.47
1973-04-04,112.89
1973-04-05,112.02
1973-04-06,113.27
1973-04-09,114.01
1973-04-10,114.81
1973-04-11,115.29
1973-04-12,115.59
1973-04-13,115.22
1973-04-16,114.55
1973-04-17,113.64
1973-04-18,113.71
1973-04-19,114.15
1973-04-20,.
1973-04-23,113.02
1973-04-24,111.23
1973-04-25,109.37
1973-04-26,109.72
1973-04-27,108.40
1973-04-30,107.85
1973-05-01,107.96
1973-05-02,109.05
1973-05-03,109.81
1973-05-04,110.89
1973-05-07,110.48
1973-05-08,110.67
1973-05-09,110.54
1973-05-10,110.32
1973-05-11,109.10
1973-05-14,106.46
1973-05-15,106.14
1973-05-16,106.10
1973-05-17,105.19
1973-05-18,102.89
1973-05-21,100.76
1973-05-22,101.59
1973-05-23,102.09
1973-05-24,104.27
1973-05-25,105.17
1973-05-28,.
1973-05-29,104.85
1973-05-30,103.19
1973-05-31,102.64
1973-06-01,102.30
1973-06-04,100.77
1973-06-05,101.71
1973-06-06,101.70
1973-06-07,102.57
1973-06-08,103.72
1973-06-11,103.04
1973-06-12,104.79
1973-06-13,104.33
1973-06-14,103.56
1973-06-15,102.26
1973-06-18,100.77
1973-06-19,100.96
1973-06-20,101.19
1973-06-21,100.40
1973-06-22,100.99
1973-06-25,99.43
1973-06-26,99.96
1973-06-27,100.22
1973-06-28,101.16
1973-06-29,100.98
1973-07-02,100.15
1973-07-03,99.45
1973-07-04,.
1973-07-05,99.39
1973-07-06,99.48
1973-07-09,100.01
1973-07-10,101.18
1973-07-11,102.69
1973-07-12,103.17
1973-07-13,103.03
1973-07-16,103.97
1973-07-17,104.64
1973-07-18,105.77
1973-07-19,106.52
1973-07-20,107.68
1973-07-23,107.75
1973-07-24,108.29
1973-07-25,109.19
1973-07-26,109.17
1973-07-27,109.36
1973-07-30,108.88
1973-07-31,108.64
1973-08-01,107.13
1973-08-02,106.98
1973-08-03,106.82
1973-08-06,107.21
1973-08-07,107.30
1973-08-08,106.13
1973-08-09,106.15
1973-08-10,105.32
1973-08-13,104.35
1973-08-14,103.59
1973-08-15,103.35
1973-08-16,103.31
1973-08-17,103.71
1973-08-20,102.67
1973-08-21,102.12
1973-08-22,101.34
1973-08-23,102.53
1973-08-24,102.40
1973-08-27,102.91
1973-08-28,102.99
1973-08-29,103.79
1973-08-30,103.99
1973-08-31,104.87
1973-09-03,.
1973-09-04,105.50
1973-09-05,106.03
1973-09-06,106.36
1973-09-07,107.02
1973-09-10,106.25
1973-09-11,105.77
1973-09-12,105.33
1973-09-13,105.60
1973-09-14,106.07
1973-09-17,106.27
1973-09-18,106.30
1973-09-19,107.91
1973-09-20,108.76
1973-09-21,109.46
1973-09-24,109.69
1973-09-25,109.80
1973-09-26,110.62
1973-09-27,111.27
1973-09-28,111.20
1973-10-01,110.97
1973-10-02,111.76
1973-10-03,112.13
1973-10-04,111.51
1973-10-05,112.56
1973-10-08,113.17
1973-10-09,113.07
1973-10-10,112.17
1973-10-11,113.56
1973-10-12,114.10
1973-10-15,113.13
1973-10-16,113.14
1973-10-17,112.66
1973-10-18,112.82
1973-10-19,113.25
1973-10-22,112.29
1973-10-23,111.81
1973-10-24,112.13
1973-10-25,112.31
1973-10-26,112.79
1973-10-29,112.09
1973-10-30,110.63
1973-10-31,110.17
1973-11-01,109.62
1973-11-02,108.93
1973-11-05,107.21
1973-11-06,106.29
1973-11-07,106.72
1973-11-08,107.31
1973-11-09,105.77
1973-11-12,105.08
1973-11-13,104.74
1973-11-14,101.98
1973-11-15,101.63
1973-11-16,101.38
1973-11-19,99.00
1973-11-20,96.58
1973-11-21,97.32
1973-11-22,.
1973-11-23,97.30
1973-11-26,94.13
1973-11-27,93.07
1973-11-28,94.94
1973-11-29,94.62
1973-11-30,93.51
1973-12-03,91.97
1973-12-04,91.56
1973-12-05,89.73
1973-12-06,91.27
1973-12-07,92.32
1973-12-10,93.54
1973-12-11,92.20
1973-12-12,90.81
1973-12-13,89.12
1973-12-14,89.63
1973-12-17,89.13
1973-12-18,90.56
1973-12-19,90.24
1973-12-20,90.27
1973-12-21,89.52
1973-12-24,88.67
1973-12-25,.
1973-12-26,90.19
1973-12-27,91.25
1973-12-28,91.68
1973-12-31,92.19
1974-01-01,.
1974-01-02,92.53
1974-01-03,94.18
1974-01-04,94.10
1974-01-07,94.47
1974-01-08,94.02
1974-01-09,92.20
1974-01-10,91.42
1974-01-11,92.23
1974-01-14,92.40
1974-01-15,93.07
1974-01-16,94.49
1974-01-17,95.95
1974-01-18,95.32
1974-01-21,94.48
1974-01-22,95.29
1974-01-23,95.76
1974-01-24,95.61
1974-01-25,95.40
1974-01-28,95.02
1974-01-29,94.56
1974-01-30,95.17
1974-01-31,94.93
1974-02-01,94.15
1974-02-04,92.89
1974-02-05,92.46
1974-02-06,92.74
1974-02-07,92.81
1974-02-08,92.20
1974-02-11,91.13
1974-02-12,90.50
1974-02-13,90.08
1974-02-14,90.21
1974-02-15,90.98
1974-02-18,.
1974-02-19,90.82
1974-02-20,91.56
1974-02-21,92.17
1974-02-22,92.93
1974-02-25,92.72
1974-02-26,93.11
1974-02-27,94.06
1974-02-28,94.35
1974-03-01,94.05
1974-03-04,93.80
1974-03-05,94.71
1974-03-06,95.12
1974-03-07,94.53
1974-03-08,95.17
1974-03-11,95.87
1974-03-12,95.80
1974-03-13,96.33
1974-03-14,96.51
1974-03-15,96.53
1974-03-18,95.37
1974-03-19,94.75
1974-03-20,94.95
1974-03-21,95.36
1974-03-22,95.45
1974-03-25,95.35
1974-03-26,95.27
1974-03-27,94.21
1974-03-28,92.87
1974-03-29,92.27
1974-04-01,91.90
1974-04-02,92.03
1974-04-03,92.13
1974-04-04,91.88
1974-04-05,90.70
1974-04-08,89.92
1974-04-09,90.18
1974-04-10,89.87
1974-04-11,89.79
1974-04-12,.
1974-04-15,89.42
1974-04-16,90.33
1974-04-17,90.72
1974-04-18,90.90
1974-04-19,90.31
1974-04-22,90.27
1974-04-23,88.47
1974-04-24,86.95
1974-04-25,86.04
1974-04-26,86.24
1974-04-29,86.46
1974-04-30,86.86
1974-05-01,87.63
1974-05-02,87.97
1974-05-03,87.47
1974-05-06,87.31
1974-05-07,86.66
1974-05-08,85.74
1974-05-09,85.81
1974-05-10,84.30
1974-05-13,83.18
1974-05-14,83.16
1974-05-15,83.51
1974-05-16,83.50
1974-05-17,81.93
1974-05-20,81.43
1974-05-21,81.29
1974-05-22,80.72
1974-05-23,80.55
1974-05-24,81.45
1974-05-27,.
1974-05-28,81.06
1974-05-29,79.78
1974-05-30,80.09
1974-05-31,80.20
1974-06-03,81.08
1974-06-04,81.77
1974-06-05,82.21
1974-06-06,83.20
1974-06-07,83.71
1974-06-10,83.92
1974-06-11,83.34
1974-06-12,83.10
1974-06-13,83.24
1974-06-14,82.76
1974-06-17,81.54
1974-06-18,81.25
1974-06-19,80.66
1974-06-20,79.85
1974-06-21,79.11
1974-06-24,78.88
1974-06-25,79.35
1974-06-26,78.27
1974-06-27,76.83
1974-06-28,75.96
1974-07-01,75.39
1974-07-02,73.81
1974-07-03,73.66
1974-07-04,.
1974-07-05,73.57
1974-07-08,70.96
1974-07-09,70.59
1974-07-10,69.82
1974-07-11,69.95
1974-07-12,71.68
1974-07-15,71.98
1974-07-16,71.63
1974-07-17,72.71
1974-07-18,72.81
1974-07-19,73.40
1974-07-22,73.42
1974-07-23,74.44
1974-07-24,74.63
1974-07-25,73.51
1974-07-26,72.83
1974-07-29,71.49
1974-07-30,71.30
1974-07-31,69.99
1974-08-01,69.63
1974-08-02,69.40
1974-08-05,69.67
1974-08-06,70.53
1974-08-07,71.68
1974-08-08,70.66
1974-08-09,70.69
1974-08-12,70.36
1974-08-13,68.82
1974-08-14,67.25
1974-08-15,66.88
1974-08-16,65.86
1974-08-19,65.13
1974-08-20,65.72
1974-08-21,64.92
1974-08-22,63.59
1974-08-23,62.57
1974-08-26,62.94
1974-08-27,62.34
1974-08-28,62.43
1974-08-29,61.37
1974-08-30,62.37
1974-09-02,.
1974-09-03,60.88
1974-09-04,58.95
1974-09-05,60.22
1974-09-06,60.70
1974-09-09,59.37
1974-09-10,58.97
1974-09-11,58.96
1974-09-12,57.71
1974-09-13,56.66
1974-09-16,57.24
1974-09-17,57.72
1974-09-18,58.12
1974-09-19,59.52
1974-09-20,59.90
1974-09-23,59.66
1974-09-24,58.84
1974-09-25,58.76
1974-09-26,57.87
1974-09-27,57.12
1974-09-30,55.67
1974-10-01,55.48
1974-10-02,55.67
1974-10-03,54.87
1974-10-04,55.16
1974-10-07,56.57
1974-10-08,56.13
1974-10-09,57.57
1974-10-10,59.13
1974-10-11,60.42
1974-10-14,61.73
1974-10-15,61.40
1974-10-16,61.19
1974-10-17,62.04
1974-10-18,62.75
1974-10-21,63.82
1974-10-22,64.14
1974-10-23,63.40
1974-10-24,62.60
1974-10-25,62.88
1974-10-28,62.50
1974-10-29,63.67
1974-10-30,64.88
1974-10-31,65.23
1974-11-01,65.06
1974-11-04,64.62
1974-11-05,65.99
1974-11-06,66.11
1974-11-07,66.64
1974-11-08,66.51
1974-11-11,66.72
1974-11-12,65.36
1974-11-13,64.98
1974-11-14,65.04
1974-11-15,64.41
1974-11-18,62.09
1974-11-19,60.93
1974-11-20,60.75
1974-11-21,61.49
1974-11-22,62.07
1974-11-25,61.68
1974-11-26,62.65
1974-11-27,62.80
1974-11-28,.
1974-11-29,62.95
1974-12-02,61.66
1974-12-03,60.50
1974-12-04,60.41
1974-12-05,58.92
1974-12-06,58.21
1974-12-09,57.91
1974-12-10,58.76
1974-12-11,59.27
1974-12-12,59.36
1974-12-13,59.22
1974-12-16,58.85
1974-12-17,59.18
1974-12-18,59.63
1974-12-19,59.46
1974-12-20,58.67
1974-12-23,57.86
1974-12-24,58.31
1974-12-25,.
1974-12-26,58.88
1974-12-27,58.74
1974-12-30,58.78
1974-12-31,59.82
1975-01-01,.
1975-01-02,60.70
1975-01-03,61.23
1975-01-06,61.74
1975-01-07,61.89
1975-01-08,61.50
1975-01-09,62.37
1975-01-10,63.69
1975-01-13,63.34
1975-01-14,63.11
1975-01-15,63.87
1975-01-16,64.80
1975-01-17,64.40
1975-01-20,64.44
1975-01-21,64.18
1975-01-22,64.12
1975-01-23,64.49
1975-01-24,65.38
1975-01-27,67.04
1975-01-28,67.92
1975-01-29,69.08
1975-01-30,68.99
1975-01-31,69.78
1975-02-03,70.73
1975-02-04,70.13
1975-02-05,71.07
1975-02-06,71.46
1975-02-07,71.12
1975-02-10,70.82
1975-02-11,70.83
1975-02-12,71.59
1975-02-13,72.88
1975-02-14,73.26
1975-02-17,.
1975-02-18,72.47
1975-02-19,72.87
1975-02-20,73.58
1975-02-21,73.79
1975-02-24,73.14
1975-02-25,72.07
1975-02-26,72.24
1975-02-27,72.53
1975-02-28,73.00
1975-03-03,73.83
1975-03-04,74.21
1975-03-05,73.90
1975-03-06,74.03
1975-03-07,74.40
1975-03-10,74.88
1975-03-11,75.04
1975-03-12,74.13
1975-03-13,74.68
1975-03-14,76.07
1975-03-17,76.27
1975-03-18,76.18
1975-03-19,75.67
1975-03-20,75.78
1975-03-21,75.92
1975-03-24,74.42
1975-03-25,74.33
1975-03-26,75.56
1975-03-27,76.18
1975-03-28,.
1975-03-31,75.66
1975-04-01,75.42
1975-04-02,75.62
1975-04-03,74.95
1975-04-04,74.73
1975-04-07,74.34
1975-04-08,74.53
1975-04-09,75.40
1975-04-10,75.76
1975-04-11,76.31
1975-04-14,77.33
1975-04-15,77.51
1975-04-16,78.00
1975-04-17,78.26
1975-04-18,78.08
1975-04-21,79.08
1975-04-22,78.54
1975-04-23,78.24
1975-04-24,78.07
1975-04-25,78.64
1975-04-28,78.28
1975-04-29,77.82
1975-04-30,78.54
1975-05-01,79.27
1975-05-02,80.25
1975-05-05,81.14
1975-05-06,80.81
1975-05-07,81.31
1975-05-08,82.12
1975-05-09,82.82
1975-05-12,82.30
1975-05-13,82.35
1975-05-14,82.91
1975-05-15,82.79
1975-05-16,82.44
1975-05-19,81.99
1975-05-20,81.82
1975-05-21,80.95
1975-05-22,81.56
1975-05-23,82.62
1975-05-26,.
1975-05-27,82.49
1975-05-28,81.98
1975-05-29,81.78
1975-05-30,83.10
1975-06-02,83.88
1975-06-03,84.14
1975-06-04,84.04
1975-06-05,84.24
1975-06-06,84.77
1975-06-09,84.01
1975-06-10,83.40
1975-06-11,83.60
1975-06-12,82.99
1975-06-13,83.43
1975-06-16,84.01
1975-06-17,83.43
1975-06-18,83.47
1975-06-19,84.55
1975-06-20,85.24
1975-06-23,85.77
1975-06-24,86.23
1975-06-25,86.30
1975-06-26,86.45
1975-06-27,86.50
1975-06-30,87.02
1975-07-01,86.33
1975-07-02,85.64
1975-07-03,86.20
1975-07-04,.
1975-07-07,85.60
1975-07-08,85.39
1975-07-09,86.50
1975-07-10,86.83
1975-07-11,87.20
1975-07-14,87.58
1975-07-15,88.00
1975-07-16,87.39
1975-07-17,87.13
1975-07-18,87.02
1975-07-21,86.77
1975-07-22,85.72
1975-07-23,84.62
1975-07-24,84.14
1975-07-25,83.60
1975-07-28,83.09
1975-07-29,82.67
1975-07-30,83.03
1975-07-31,83.19
1975-08-01,81.62
1975-08-04,80.98
1975-08-05,80.17
1975-08-06,80.24
1975-08-07,79.59
1975-08-08,79.55
1975-08-11,79.45
1975-08-12,79.60
1975-08-13,79.09
1975-08-14,78.45
1975-08-15,78.58
1975-08-18,78.03
1975-08-19,76.65
1975-08-20,75.52
1975-08-21,75.90
1975-08-22,76.45
1975-08-25,76.84
1975-08-26,76.21
1975-08-27,76.57
1975-08-28,78.06
1975-08-29,79.01
1975-09-01,.
1975-09-02,77.89
1975-09-03,78.08
1975-09-04,78.13
1975-09-05,77.78
1975-09-08,77.46
1975-09-09,76.60
1975-09-10,75.24
1975-09-11,74.85
1975-09-12,74.72
1975-09-15,74.47
1975-09-16,73.78
1975-09-17,73.87
1975-09-18,74.78
1975-09-19,76.39
1975-09-22,75.86
1975-09-23,75.94
1975-09-24,76.43
1975-09-25,76.10
1975-09-26,76.14
1975-09-29,75.37
1975-09-30,74.33
1975-10-01,73.80
1975-10-02,74.16
1975-10-03,75.50
1975-10-06,76.03
1975-10-07,75.88
1975-10-08,76.61
1975-10-09,76.87
1975-10-10,76.96
1975-10-13,77.70
1975-10-14,78.19
1975-10-15,78.20
1975-10-16,77.63
1975-10-17,78.22
1975-10-20,78.13
1975-10-21,78.43
1975-10-22,78.91
1975-10-23,78.06
1975-10-24,78.62
1975-10-27,78.29
1975-10-28,78.73
1975-10-29,77.58
1975-10-30,77.45
1975-10-31,76.99
1975-11-03,76.62
1975-11-04,76.86
1975-11-05,77.30
1975-11-06,77.39
1975-11-07,77.21
1975-11-10,77.46
1975-11-11,78.00
1975-11-12,79.27
1975-11-13,79.22
1975-11-14,78.98
1975-11-17,79.10
1975-11-18,78.62
1975-11-19,77.87
1975-11-20,77.67
1975-11-21,77.74
1975-11-24,77.92
1975-11-25,78.18
1975-11-26,78.56
1975-11-27,.
1975-11-28,78.80
1975-12-01,78.66
1975-12-02,77.33
1975-12-03,75.67
1975-12-04,75.20
1975-12-05,74.72
1975-12-08,74.92
1975-12-09,74.52
1975-12-10,75.25
1975-12-11,75.08
1975-12-12,74.91
1975-12-15,74.54
1975-12-16,75.19
1975-12-17,75.80
1975-12-18,76.07
1975-12-19,75.92
1975-12-22,75.59
1975-12-23,75.88
1975-12-24,76.37
1975-12-25,.
1975-12-26,77.13
1975-12-29,76.94
